net,length_um
_167_,225.53
_073_,204.96
_048_,196.47
_024_,193.615
_015_,187.755
_014_,187.165
_083_,183.51
_151_,182.095
_067_,180.225
_439_,179.99
_030_,177.69
_404_,177.285
_008_,176.015
_080_,174.8
_114_,170.63
_077_,169.65
_094_,165.12
_452_,165.065
_102_,162.28
_450_,162.01
_435_,161.175
_043_,160.46
_089_,160.39
_411_,160.21
_412_,160.21
net24,160.12
_339_,160.08
_297_,158.065
_036_,156.735
_393_,155.25
_062_,151.485
_058_,150.78
_056_,147.86
_097_,145.115
_350_,145.01
_078_,143.12
_382_,142.05
_445_,140.99
_063_,140.58
_420_,140.05
_433_,139.98
_090_,139.145
_131_,138.75
_037_,138.55
_100_,138.44
_286_,137.27
_422_,137.16
_118_,135.94
_081_,133.365
_093_,133.33
_016_,133.285
_110_,132.665
_017_,132.045
_011_,130.8
_023_,128.315
_027_,128.215
_038_,126.89
_449_,126.31
net6,125.7
_086_,122.78
_018_,122.1
_068_,121.94
_042_,121.84
_162_,121.385
_442_,120.805
_203_,120.73
_112_,120.185
_188_,118.52
_421_,118.065
_410_,117.56
_174_,113.95
_156_,113.58
_428_,113.485
_041_,113.43
net23,111.94
_012_,109.815
_436_,106.86
_431_,104.495
net21,104.44
_084_,104.17
_071_,101.92
_128_,101.23
_213_,98.67
_454_,98.42
_064_,95.85
_028_,91.055
_275_,90.44
_050_,89.93
net10,89.295
_142_,89.25
_448_,87.8
_106_,87.135
net2,85.76
_121_,83.43
_029_,81.6
_438_,80.54
_155_,79.61
_397_,78.78
_176_,77.87
_201_,77.14
_443_,76.78
net22,75.14
_138_,74.96
_329_,73.96
_052_,72.29
_025_,71.3
_181_,70.325
_247_,70.09
_051_,69.51
_053_,68.415
_223_,68.34
_189_,66.81
_059_,66.45
net11,66.335
_192_,63.75
_173_,62.58
net8,61.74
_104_,61.185
_418_,60.91
_126_,60.495
_434_,60.24
_414_,60.075
_035_,59.61
_301_,59.395
_244_,58.23
net7,57.88
_191_,57.645
_229_,57.11
_045_,55.98
_144_,55.5
_109_,55.46
_057_,54.88
_069_,53.43
_082_,51.955
_124_,51.85
_252_,51.79
_180_,51.64
_088_,51.4
_031_,50.39
_200_,48.18
_230_,45.36
_320_,45.28
_324_,45.26
net5,45.12
_190_,44.54
_054_,44.31
_276_,41.66
_211_,41.645
_360_,41.61
net9,41.18
_161_,40.66
_314_,40.08
_074_,39.04
_135_,38.56
_268_,38.16
_238_,38.08
_293_,37.56
_208_,37.22
net4,36.62
_451_,36.46
_453_,35.38
_075_,34.68
_026_,34.64
_095_,33.34
_076_,32.84
net1,32.78
_148_,32.64
_119_,32.3
_154_,31.8
_426_,31.76
_013_,31.725
_040_,31.64
_165_,31.48
_425_,31.06
_398_,31
_243_,30.64
_022_,30.18
_429_,29.24
_021_,29.06
_197_,28.94
net17,28.46
net15,28.26
_146_,28.19
_133_,28.08
_260_,27.52
_226_,27.26
_423_,26.845
_210_,26.635
_149_,26.42
_032_,26.35
_127_,25.82
_232_,25.6
_079_,25.58
_061_,25.42
_402_,25.18
_332_,24.72
net19,24.54
_122_,24.4
_216_,24.26
net13,24.08
_368_,23.84
_413_,23.61
net14,23.58
_371_,23.1
_281_,23
_020_,22.92
_288_,22.76
net18,22.74
_351_,22.72
_379_,22.36
_341_,22.05
_287_,21.92
_437_,21.9
_283_,21.76
_312_,21.34
_178_,21.01
_346_,20.88
net3,20.66
_296_,20.34
_282_,20.3
_419_,19.92
_105_,19.76
_168_,19.6
_153_,19.45
_415_,19.16
_409_,19.055
_034_,18.6
_091_,18.32
_272_,18.32
_256_,18.16
_336_,18.16
_250_,18.06
_298_,18.06
_335_,18.06
_384_,18.04
_345_,17.94
_427_,17.94
_416_,17.7
_327_,17.58
_361_,17.54
_183_,17.5
_261_,17.36
net20,17.16
net12,16.9
_424_,16.875
_120_,16.78
_262_,16.58
net16,16.54
_366_,16.42
_115_,15.72
_221_,15.28
_182_,15.22
_263_,14.56
_270_,14.56
_334_,14.04
_374_,14
_300_,13.88
_441_,13.78
_376_,13.42
_204_,13.38
_236_,13.16
_308_,12.98
wr_data[1],12.74
wr_data[7],12.74
_385_,12.62
_000_,12.605
_305_,12.38
_139_,12.3
_235_,12.3
_319_,12.24
_242_,12.18
_357_,11.765
_271_,11.7
_219_,11.36
_278_,11.24
_386_,10.9
_019_,10.58
wr_data[2],10.44
wr_data[5],10.44
_408_,10.36
_342_,10.34
_307_,10.08
_363_,10.04
_039_,9.84
_228_,9.52
_098_,9.51
_330_,9.32
_255_,9.29
_432_,9.24
_383_,8.98
ram_ready,8.96
_187_,8.89
reset,8.84
_367_,8.78
_205_,8.735
wr_enable,8.5
_378_,8.495
_328_,8.46
_066_,8.43
_391_,8.4
_164_,8.34
_202_,8.3
_085_,8.2
_099_,8.18
_440_,8.1
_150_,8.06
wr_addr[6],7.92
_234_,7.9
_004_,7.805
_289_,7.76
_273_,7.68
wr_addr[0],7.58
wr_addr[3],7.58
wr_addr[4],7.58
wr_addr[5],7.58
wr_addr[7],7.58
_318_,7.52
_292_,7.24
_108_,7.14
_316_,7.12
_047_,7.1
_417_,7.1
_087_,7.06
_353_,6.72
_407_,6.6
_003_,6.54
_237_,6.5
_240_,6.5
_177_,6.46
wr_data[3],6.43
_006_,6.425
_065_,6.4
_258_,6.32
_172_,6.26
_277_,6.26
_129_,6.24
_175_,6.19
_116_,6.06
_354_,5.8
wr_addr[1],5.75
wr_data[4],5.75
wr_data[6],5.75
_381_,5.74
_113_,5.72
_185_,5.7
_199_,5.7
_400_,5.68
clk,5.63
wr_addr[2],5.63
_212_,5.45
_249_,5.42
wr_data[0],5.41
_169_,5.34
_267_,5.34
_446_,5.34
_266_,5.26
_269_,5.26
_373_,5.26
_143_,5.04
_387_,5.035
_136_,4.94
_215_,4.94
_257_,4.94
_369_,4.94
_196_,4.9
_044_,4.88
_331_,4.8
_377_,4.8
_399_,4.8
_337_,4.7
_455_,4.7
_160_,4.6
_134_,4.48
_111_,4.46
_291_,4.46
_315_,4.42
_444_,4.42
_403_,4.36
_401_,4.345
_101_,4.34
_259_,4.34
_313_,4.34
_349_,4.24
_372_,4.14
_340_,4.02
_123_,4
_152_,4
_171_,4
_280_,4
_046_,3.98
_145_,3.9
_306_,3.88
_209_,3.78
_141_,3.56
_303_,3.56
_060_,3.54
_092_,3.54
_347_,3.54
_125_,3.52
_072_,3.44
_170_,3.44
_254_,3.44
_274_,3.44
_158_,3.435
_322_,3.42
_220_,3.32
_001_,3.245
_326_,3.185
_130_,3.18
_217_,3.1
_359_,3.085
_033_,3.08
_193_,3.08
_338_,3.08
_380_,2.98
_179_,2.96
_241_,2.96
_294_,2.96
_323_,2.96
_117_,2.9
_055_,2.76
_370_,2.76
_198_,2.74
_245_,2.64
_348_,2.64
_049_,2.62
_132_,2.62
_137_,2.62
_227_,2.62
_253_,2.62
_311_,2.62
_321_,2.62
_405_,2.62
_002_,2.585
_005_,2.545
_358_,2.52
_166_,2.5
_225_,2.5
_246_,2.5
_265_,2.5
_333_,2.5
_343_,2.5
_352_,2.5
_394_,2.5
_430_,2.5
_364_,2.46
_362_,2.41
_147_,2.4
_163_,2.4
_222_,2.38
_009_,2.325
_290_,2.3
_447_,2.3
_186_,2.28
_251_,2.28
_214_,2.255
_284_,2.18
_344_,2.18
_140_,2.16
_159_,2.16
_195_,2.16
_206_,2.16
_207_,2.16
_309_,2.16
_395_,2.16
_010_,2.06
_070_,2.06
_355_,2.06
_107_,2.04
_239_,2.04
_264_,2.04
_007_,2.025
_218_,1.94
_248_,1.84
_356_,1.84
_390_,1.82
_103_,1.72
_194_,1.72
_233_,1.72
_325_,1.72
_396_,1.72
_365_,1.7
_304_,1.6
_406_,1.6
_224_,1.49
_388_,1.48
_157_,1.38
_285_,1.38
_317_,1.38
_392_,1.38
_295_,1.36
_184_,1.26
_310_,1.26
_231_,1.14
_279_,1.14
_299_,0.92
_302_,0.92
_375_,0.92
_389_,0.92
_096_,0.8
